trtid10,trtid00,placefp10,cbsa10,metdiv10,ccflag10,changetype,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49
12089050102,12089050100,22175,27260,99999,0,3,2947,1396.810363,65.5875739,82.32606932,100.0893706,64.22116611,37.57621421,15.71368958,13.66407789,44.40825316,77.885244,79.93485569,104.8717978,114.7782543,116.827866,108.2878173,97.69815695,30.40257332,40.30902979,25.62014605,36.20980642,60.80514663,40.30902979,24.93694216,14.34728179,1550.189637,77.20204011,80.95966153,87.79170048,52.6066999,26.6449519,15.03048568,10.58966037,38.25941811,70.02839921,90.866118,112.0454387,128.4423322,127.7591283,124.3431088,104.1885939,28.35296163,51.58189405,26.98655384,48.16587458,86.08369074,65.92917584,48.16587458,48.16587458
12089050201,12089050200,99999,27260,99999,0,3,1479,721.0247007,36.53229,40.01819553,41.27312152,25.37739229,13.38587725,4.740831526,5.298576412,18.266145,31.51258603,35.69567267,47.26887904,56.61110587,56.33223343,58.98152164,53.543509,18.40558122,34.5801829,23.56472141,32.20976713,42.10973885,27.60837183,12.68869614,5.019703969,757.9752993,37.36890733,35.83510889,39.59988687,23.84359385,11.29433393,5.577448855,5.298576412,17.56896389,33.88300179,42.10973885,50.33647591,56.05336099,60.09701141,71.67021778,63.16460828,23.56472141,34.71961912,16.45347412,30.53653248,44.34071839,27.60837183,17.15065523,9.899971717
12089050202,12089050200,99999,27260,99999,0,3,6172.605971,3009.196331,152.4674992,167.0159247,172.2533579,105.9125376,55.86595392,19.78585868,22.11360676,76.23374962,131.5177665,148.9758771,197.2766498,236.2664301,235.1025561,246.1593595,223.4638157,76.81568664,144.320381,98.34735639,134.4274516,175.74498,115.22353,52.95626882,20.94973272,3163.409641,155.9591214,149.5578141,165.2701137,99.51123043,47.13689862,23.2774808,22.11360676,73.32406452,141.4106959,175.74498,210.0792642,233.9386821,250.8148556,299.1156283,263.6174701,98.34735639,144.902318,68.66856836,127.4442074,185.0559724,115.22353,71.57825346,41.31752842
12089050203,12089050200,99999,27260,99999,0,3,2955.394029,1440.778969,73.00021075,79.96587972,82.47352055,50.71007007,26.74816883,9.473309793,10.58781683,36.50010538,62.96964745,71.3284502,94.45447117,113.122464,112.5652105,117.8591189,106.9926753,36.77873214,69.09943613,47.0879222,64.36278124,84.1452811,55.1680982,25.35503503,10.03056331,1514.61506,74.67197131,71.60707696,79.12999944,47.64517572,22.56876745,11.14507034,10.58781683,35.10697158,67.70630234,84.1452811,100.5842599,112.007957,120.088133,143.2141539,126.2179216,47.0879222,69.37806289,32.87795752,61.01926013,88.60330924,55.1680982,34.27109131,19.78249986
12089050301,12089050302,99999,27260,99999,0,1,3385,1813.143266,119.3623788,118.3785976,142.5624106,90.85418986,60.39465734,30.18921927,25.2162506,78.52981396,125.1947845,148.3191286,148.4542853,151.3353474,153.367785,125.000159,79.88122118,33.3081571,36.43250119,23.2919383,44.30275083,44.34600095,28.24328192,3.151375417,3.027031325,1571.856734,92.07584672,116.3083161,122.4218477,73.7082207,38.37843854,17.19462554,12.22165686,47.49737637,100.1461282,111.3623788,140.5461918,164.4813166,124.265066,121.1245031,91.90284624,22.27031325,36.43790746,31.23787566,21.35140722,38.45953252,27.27571951,14.10271903,7.086500239
12089050302,12089050302,79175,27260,99999,0,1,6163,3107.469073,246.9511846,249.8910797,283.2098903,154.8344729,71.53744633,34.29877564,39.19860073,96.03657179,216.572269,239.1114645,263.6105899,242.0513595,247.9311496,181.2935284,159.734298,55.85800604,78.39720146,52.91811099,54.87804102,62.71776117,44.09842582,27.43902051,4.899825091,3055.530927,195.0130386,237.1515344,257.7307998,128.3754174,68.59755128,35.27874066,40.17856575,90.15678168,207.7525839,246.9511846,280.2699952,268.510415,229.3118143,203.8327238,163.6541581,48.99825091,79.37716648,43.1184608,63.69772619,83.29702655,49.97821593,18.61933535,15.67944029
12089050303,12089050303,99999,27260,99999,0,1,7007,3494.387661,235.6864366,241.7303228,284.2276992,144.3113373,81.06789633,38.51200509,28.58514867,82.43361425,207.2329464,218.5694069,324.9351248,336.6132931,317.7010654,281.7063126,202.3844808,71.83383686,78.17029734,49.78995071,76.81920814,104.9362379,47.65829226,31.40960407,8.073143584,3512.612339,212.9111146,243.5401495,290.8473525,151.9163619,76.02401018,47.52663381,29.59977739,117.3458419,198.101288,249.6864366,334.183813,338.0082684,299.4231197,263.0427731,210.4429957,48.73143584,77.18492606,56.64366354,74.95086659,94.24344093,52.74606456,23.27794562,22.23405947
12089050400,12089050400,99999,27260,99999,0,1,7614,3732,269,298,325,201,106,38,40,112,196,264,308,321,250,241,209,82,115,60,78,86,69,35,29,3882,275,287,333,192,78,39,44,120,253,278,327,310,262,215,232,82,93,55,68,128,87,64,60
12089050502,12089050501,47787,27260,99999,0,1,6044,3026.78358,180.6383289,233.7607481,275.8175856,164.4197231,70.22735001,41.12023318,29.11148895,84.26888511,149.5836774,217.6230265,264.7585621,273.6689337,227.6230265,223.5399563,181.4721885,61.17269857,81.25139665,38.13772164,65.19018703,79.21204761,50.09181443,19.05246539,15.0415351,3017.21642,176.7060967,196.6929803,272.7541899,136.452514,76.19893126,38.10930289,37.09181443,83.29074569,178.5946077,206.6558173,277.8503765,250.6907943,257.5771193,208.5880496,153.5508866,55.17488462,73.25358271,51.13772164,73.14865193,79.27325723,69.17707068,42.14427982,23.10274472
12089050503,12089050501,99999,27260,99999,0,3,4975,2427.683993,176.42701,210.2623269,225.9715812,116.0068011,62.83701725,33.23111489,30.81430653,74.31685693,161.3219577,172.1975953,209.6581248,184.8858392,172.1975953,149.237916,130.5076512,47.73196502,69.48324022,38.0647316,52.56558173,58.60760262,25.37648773,14.50085013,11.47983969,2547.316007,195.1572747,191.5320622,208.4497207,125.0698324,54.98239009,30.21010444,25.37648773,80.35887782,164.3429682,181.2606267,235.0346126,190.9278601,159.5093515,162.5303619,152.2589264,48.33616711,70.08744231,38.0647316,41.08574205,75.52526111,48.9403692,39.87733787,28.39749818
12089050504,12089050501,99999,27260,99999,0,3,3241,1581.532427,114.9346612,136.9769249,147.2108331,75.57347583,40.93563274,21.64865193,20.07420452,48.41425795,105.0943648,112.1793782,136.5833131,120.4452271,112.1793782,97.22212776,85.02016031,31.09533641,45.26536313,24.79754676,34.24423124,38.18034977,16.53169784,9.446684479,7.478625213,1659.467573,127.1366286,124.7749575,135.7960894,81.47765363,35.81867865,19.68059266,16.53169784,52.35037649,107.0624241,118.083556,153.1150109,124.3813456,103.9135293,105.8815885,99.19018703,31.48894826,45.65897498,24.79754676,26.76560602,49.20148166,31.88256012,25.97838232,18.4997571
13001950100,13001950100,99999,99999,99999,0,1,2882,1442,104,97,104,89,39,18,16,56,90,92,111,117,120,110,69,23,36,23,31,43,22,16,16,1440,104,87,106,79,35,14,17,53,94,96,122,129,96,99,75,20,39,19,35,33,35,36,17
13001950200,13001950200,99999,99999,99999,0,1,4452,2121,189,174,195,107,66,35,33,78,139,145,148,157,152,144,102,28,49,29,23,58,45,18,7,2331,172,172,194,123,74,29,33,87,145,147,181,167,172,163,109,39,46,26,45,72,58,40,37
13001950300,13001950300,6016,99999,99999,0,1,4830,2399,175,192,180,124,92,40,36,93,175,141,187,181,162,140,123,42,65,35,49,71,51,26,19,2431,150,165,130,116,55,30,30,82,156,162,182,176,150,155,159,50,71,41,54,94,94,63,66
13001950400,13001950400,99999,99999,99999,0,1,1574.69358,774.8492219,48.99047325,54.98930412,52.98969576,30.99397728,21.99571751,8.998248708,4.999031013,22.99552362,53.98949369,43.99144465,53.98949369,56.98891249,67.9867638,55.98909629,47.99066186,17.99649694,30.99395997,16.99668891,15.99688857,30.9939643,16.99669131,9.998056257,6.998637937,799.8443582,40.99202873,40.99203786,57.98871379,33.99338502,21.9957228,7.998445005,8.998246304,37.99260224,40.99203113,31.99378579,66.98695769,69.98636928,62.98773567,48.99046652,56.98890624,12.99747313,21.99572376,9.998054334,24.99513583,37.99260079,24.9951368,18.99630352,17.99649597
